,Asian,Black,Hispanic,White
1236,0,13,7,10
1237,0,10,8,12
1238,0,8,13,9
1239,0,9,8,13
1240,0,11,8,11
1241,1,11,9,9
1242,0,12,8,10
1243,0,12,7,11
1244,0,9,12,9
1245,0,11,8,11
1246,0,9,11,10
1247,0,11,9,10
1248,0,9,9,12
1249,1,11,8,10
1250,0,12,9,9
1251,0,10,8,12
1252,0,12,8,10
1253,0,10,9,11
1254,0,10,9,11
1255,0,10,6,14
1256,0,8,10,12
1257,0,9,10,11
1258,0,11,8,11
1259,0,10,6,14
1260,0,9,9,12
1261,0,11,8,11
1262,0,11,8,11
1263,0,9,10,11
1264,0,10,9,11
1265,0,10,9,11
1266,0,9,8,13
1267,0,10,7,13
1268,0,9,10,11
1269,0,11,9,10
1270,0,13,6,11
1271,0,9,10,11
1272,0,9,12,9
1273,0,12,9,9
1274,0,11,9,10
1275,0,12,7,11
1276,0,10,10,10
1277,0,11,8,11
1278,0,9,10,11
1279,0,9,9,12
1280,0,11,7,12
1281,0,12,9,9
1282,0,10,10,10
1283,0,11,7,12
1284,0,12,10,8
1285,0,12,9,9
1286,0,10,11,9
1287,0,12,9,9
1288,0,11,9,10
1289,0,9,12,9
1290,0,10,9,11
1291,1,10,10,9
1292,0,9,9,12
1293,0,10,9,11
1294,0,8,11,11
1295,0,10,9,11
1296,0,11,8,11
1297,0,13,7,10
1298,0,10,7,13
1299,0,9,10,11
1300,0,11,8,11
1301,0,11,8,11
1302,0,9,11,10
1303,0,9,11,10
1304,0,10,7,13
1305,0,10,7,13
1306,0,12,8,10
1307,0,10,10,10
1308,0,10,7,13
1309,0,8,11,11
1310,0,9,11,10
1311,0,10,9,11
1312,0,10,10,10
1313,0,12,6,12
1314,0,11,8,11
1315,0,11,7,12
1316,0,9,10,11
1317,0,9,10,11
1318,0,10,7,13
1319,0,10,8,12
1320,0,12,7,11
1321,0,10,9,11
1322,0,12,8,10
1323,0,9,10,11
1324,1,11,6,12
1325,0,11,7,12
1326,1,10,8,11
1327,1,10,11,8
1328,0,11,8,11
1329,0,9,7,14
1330,0,10,8,12
1331,0,9,8,13
1332,0,9,11,10
1333,0,13,7,10
1334,0,11,9,10
1335,0,13,5,12
1336,0,11,8,11
1337,0,11,6,13
1338,0,10,10,10
1339,1,10,8,11
1340,0,10,9,11
1341,0,9,12,9
1342,0,10,7,13
1343,0,9,8,13
1344,0,10,9,11
1345,0,11,9,10
1346,0,8,11,11
1347,0,11,6,13
1348,1,11,7,11
1349,1,12,8,9
1350,0,10,10,10
1351,0,11,7,12
1352,0,10,8,12
