,ID,1stChoice,2nd Choice,3rd Choice,4th Choice,5th Choice ,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
323,000101-00-0645,C15,,,,,,,,,,,,,,,,,
324,000101-00-0646,C17,C18,C03,C05,C12,C13,,,,,,,,,,,,
325,000101-00-0648,C18,C17,,,,,,,,,,,,,,,,
326,000101-00-0651,C17,,,,,,,,,,,,,,,,,
327,000101-00-0653,C17,,,,,,,,,,,,,,,,,
328,000101-00-0655,C18,,,,,,,,,,,,,,,,,
329,000101-00-0656,C18,C05,C17,,,,,,,,,,,,,,,
330,000101-00-0658,C07,C18,,,,,,,,,,,,,,,,
331,000101-00-0659,C18,C17,,,,,,,,,,,,,,,,
332,000101-00-0661,C18,C05,C14,,,,,,,,,,,,,,,
333,000101-00-0663,C18,C17,C13,,,,,,,,,,,,,,,
334,000101-00-0665,C18,C17,C12,,,,,,,,,,,,,,,
335,000101-00-0668,C18,C05,C17,C12,,,,,,,,,,,,,,
336,000101-00-0670,C18,C17,C04,C12,C13,C14,,,,,,,,,,,,
337,000101-00-0671,C17,C18,C05,C04,C12,,,,,,,,,,,,,
338,000101-00-0674,C03,C18,C15,,,,,,,,,,,,,,,
339,000101-00-0676,C18,C05,C12,C16,C14,C13,C17,C03,C04,,,,,,,,,
340,000101-00-0677,C16,C03,C15,C14,C18,C10,C06,C04,C13,C12,C05,C17,,,,,,
341,000101-00-0679,C18,C05,C17,,,,,,,,,,,,,,,
342,000101-00-0682,C14,C05,C13,C18,C17,C03,C04,C16,C12,C11,C15,C01,C06,C07,C08,C09,C10,
343,000101-00-0684,C17,C05,C14,C09,C13,C01,C02,C06,,,,,,,,,,
344,000101-00-0686,C13,C15,C09,C03,C05,C17,C10,C11,C01,,,,,,,,,
345,000101-00-0687,C17,C12,C18,C04,,,,,,,,,,,,,,
346,000101-00-0690,C05,C18,C17,,,,,,,,,,,,,,,
347,000101-00-0691,C17,C16,C12,C18,,,,,,,,,,,,,,
348,000101-00-0694,C17,C12,C18,C05,,,,,,,,,,,,,,
349,000101-00-0696,C12,C18,C16,,,,,,,,,,,,,,,
350,000101-00-0698,C18,C17,C12,,,,,,,,,,,,,,,
351,000101-00-0699,C16,C03,C04,C15,,,,,,,,,,,,,,
352,000101-00-0701,C18,C05,C17,C01,C02,C09,C13,C08,C07,,,,,,,,,
353,000101-00-0704,C05,C18,C17,,,,,,,,,,,,,,,
